station,date,layer,salzone_cedr,salzone_calc,salzone_johnson,salzone_diff,salinity,salinity_johnson,sal_diff
cb6.4,1997-08-12,ap,p,p,p,FALSE,21.13,18.7,2.43
cb6.1,2000-09-11,ap,m,p,p,FALSE,20.7272727272727,18.3,2.42727272727273
wt5.1,1992-08-11,ap,m,m,m,FALSE,10.525625,8.1,2.425625
cb3.3c,1992-07-21,ap,m,m,m,FALSE,13.3538095238095,10.93,2.42380952380952
cb3.3c,1990-07-17,ap,m,m,m,FALSE,10.7989473684211,8.39,2.40894736842105
cb4.3c,1994-03-08,ap,m,m,m,FALSE,13.8577272727273,11.45,2.40772727272727
cb4.3c,1988-08-09,ap,m,m,m,FALSE,15.7770588235294,13.37,2.40705882352941
sbe5,1996-04-23,ap,m,m,m,FALSE,11.8333333333333,9.43,2.40333333333333
cb6.4,1989-07-24,ap,m,m,m,FALSE,17.6,15.2,2.4
cb5.2,1989-03-20,ap,p,p,p,FALSE,21.044,18.65,2.394
cb6.1,2002-09-16,ap,p,p,p,FALSE,23.4536363636364,21.06,2.39363636363636
cb6.1,1986-03-24,ap,p,m,m,FALSE,17.0171428571429,14.63,2.38714285714286
cb4.3c,1992-08-12,ap,m,m,m,FALSE,16.7721052631579,14.39,2.38210526315789
cb7.4,2001-07-09,ap,p,p,p,FALSE,27.8214285714286,25.44,2.38142857142857
cb3.3c,1990-09-25,ap,m,m,m,FALSE,15.1604347826087,12.78,2.3804347826087
cb7.3e,2010-09-23,ap,p,p,p,FALSE,27.234,24.86,2.374
cb7.4,1992-03-10,ap,p,p,p,FALSE,29.7538461538462,27.38,2.37384615384616
le5.5-w,2003-09-24,ap,m,m,m,FALSE,13.9833333333333,11.61,2.37333333333334
cb6.1,2003-08-05,ap,m,m,m,FALSE,17.3733333333333,15,2.37333333333333
we4.2,2003-09-25,ap,m,m,m,FALSE,16.7675,14.4,2.3675
cb3.3c,1992-09-09,ap,m,m,m,FALSE,14.645,12.28,2.365
cb4.3c,1988-08-23,ap,m,m,m,FALSE,17.7347368421053,15.37,2.36473684210526
cb6.1,1990-03-06,ap,m,m,m,FALSE,17.6775,15.32,2.3575
cb7.4,2007-03-12,ap,p,p,p,FALSE,27.736,25.38,2.356
cb5.2,1990-07-16,ap,m,m,m,FALSE,15.744347826087,13.39,2.35434782608696
cb6.1,1989-07-10,ap,p,m,m,FALSE,15.9230769230769,13.57,2.35307692307692
cb6.4,1987-09-14,ap,p,p,p,FALSE,24.2444444444444,21.9,2.34444444444445
cb3.3c,1988-04-12,ap,m,m,m,FALSE,7.59666666666667,9.94,-2.34333333333333
cb4.3c,1988-04-26,ap,m,m,m,FALSE,15.3021052631579,12.96,2.34210526315789
cb2.2,2006-03-09,wc,,o,o,FALSE,3.90076923076923,1.56,2.34076923076923
cb5.2,1988-04-25,ap,m,m,m,FALSE,16.6895,14.35,2.3395
cb7.3e,2009-03-24,ap,p,p,p,FALSE,24.5523529411765,22.23,2.32235294117647
cb2.2,2006-05-24,wc,,o,o,FALSE,4.86916666666667,2.55,2.31916666666667
cb3.3c,1985-09-10,ap,m,m,m,FALSE,17.9078947368421,15.59,2.31789473684211
le5.5-w,1999-09-21,ap,m,m,m,FALSE,16.3616666666667,14.05,2.31166666666667
cb6.1,2003-03-11,ap,m,m,m,FALSE,16.5072727272727,14.2,2.30727272727273
cb4.3c,1990-07-17,ap,m,m,m,FALSE,13.0161904761905,10.71,2.30619047619047
ret4.3,2007-03-12,ap,,m,m,FALSE,8.5,6.2,2.3
cb7.3e,1995-05-09,ap,p,p,p,FALSE,25.06875,22.78,2.28875
cb3.3c,1987-07-07,ap,m,m,m,FALSE,12.6071428571429,10.32,2.28714285714286
